trans_name,OG_name,sp_name,tissue,dnds,pnps,cons_gene_by_tiss
Tte_TRINITY_DN9612_c0_g2_i1,OG-2744_,Tte,WB,1.00E-04,NA,NO
Tte_TRINITY_DN27966_c1_g2_i1,OG-1277_,Tte,WB,NA,NA,NO
Tms_TRINITY_DN2930_c0_g1_i1,OG-3004_,Tms,WB,NA,NA,NO
Tge_TRINITY_DN32458_c0_g1_i1,OG-1121_,Tge,WB,NA,NA,NO
Tsi_TRINITY_DN32321_c0_g1_i1,OG-2415_,Tsi,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN20632_c0_g1_i2,OG-1088_,Tsi,WB,NA,NA,NO
Tsi_TRINITY_DN30484_c0_g1_i4,OG-431_,Tsi,WB,0.541181,0,NO
Tms_TRINITY_DN29386_c0_g1_i1,OG-1764_,Tms,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN23833_c0_g1_i1,OG-2882_,Tdi,WB,NA,NA,NO
Tdi_TRINITY_DN26889_c0_g1_i1,OG-1962_,Tdi,WB,1.00E-04,0,NO
Tms_TRINITY_DN409_c0_g2_i1,OG-1892_,Tms,WB,NA,NA,NO
Tsi_TRINITY_DN21203_c0_g1_i2,OG-1079_,Tsi,WB,NA,NA,NO
Tge_TRINITY_DN25953_c0_g1_i1,OG-2055_,Tge,WB,1.00E-04,0,NO
Tms_TRINITY_DN24561_c0_g2_i1,OG-258_,Tms,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN26829_c0_g1_i2,OG-2849_,Tsi,WB,1.00E-04,0.171511628,NO
Tms_TRINITY_DN18903_c0_g1_i2,OG-563_,Tms,WB,NA,NA,NO
Tdi_TRINITY_DN20343_c0_g1_i1,OG-89_,Tdi,WB,0.160483,NA,NO
Tge_TRINITY_DN44905_c0_g2_i2,OG-1092_,Tge,WB,1.00E-04,0.318753417,NO
Tdi_TRINITY_DN8559_c0_g1_i1,OG-2119_,Tdi,WB,NA,NA,NO
Tsi_TRINITY_DN39217_c0_g1_i1,OG-2314_,Tsi,WB,0.110539,NA,NO
Tge_TRINITY_DN46464_c0_g2_i2,OG-2043_,Tge,WB,0.217765,NA,NO
Tdi_TRINITY_DN14628_c0_g1_i1,OG-2828_,Tdi,WB,NA,NA,NO
Tdi_TRINITY_DN20700_c0_g1_i1,OG-687_,Tdi,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN27509_c0_g1_i1,OG-1738_,Tdi,WB,0.215115,0.171675432,NO
Tte_TRINITY_DN10500_c0_g1_i1,OG-2335_,Tte,WB,1.00E-04,NA,NO
Tte_TRINITY_DN29367_c11_g3_i1,OG-183_,Tte,WB,0.668908,NA,NO
Tms_TRINITY_DN7354_c0_g2_i1,OG-1404_,Tms,WB,NA,NA,NO
Tdi_TRINITY_DN23151_c0_g1_i1,OG-1267_,Tdi,WB,0.0516118,NA,NO
Tdi_TRINITY_DN26832_c0_g1_i1,OG-170_,Tdi,WB,1.00E-04,0,NO
Tsi_TRINITY_DN11191_c0_g1_i1,OG-2643_,Tsi,WB,1.00E-04,NA,NO
Tms_TRINITY_DN17096_c0_g3_i1,OG-1419_,Tms,WB,1.00E-04,NA,NO
Tge_TRINITY_DN41615_c0_g1_i1,OG-637_,Tge,WB,1.00E-04,0,NO
Tdi_TRINITY_DN19828_c0_g1_i1,OG-832_,Tdi,WB,NA,NA,NO
Tge_TRINITY_DN9328_c0_g1_i1,OG-1830_,Tge,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN7090_c0_g1_i1,OG-2318_,Tsi,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN31989_c1_g1_i1,OG-2650_,Tsi,WB,1.00E-04,NA,NO
Tms_TRINITY_DN22082_c0_g1_i2,OG-624_,Tms,WB,NA,NA,NO
Tsi_TRINITY_DN16556_c0_g2_i1,OG-1119_,Tsi,WB,0.0672985,NA,NO
Tge_TRINITY_DN36354_c0_g1_i4,OG-2487_,Tge,WB,0.571873,NA,NO
Tte_TRINITY_DN23011_c0_g5_i1,OG-2410_,Tte,WB,1.00E-04,NA,NO
Tte_TRINITY_DN29939_c9_g1_i1,OG-2597_,Tte,WB,NA,NA,NO
Tms_TRINITY_DN31354_c2_g13_i1,OG-300_,Tms,WB,NA,NA,NO
Tms_TRINITY_DN9015_c0_g1_i1,OG-391_,Tms,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN4582_c0_g1_i1,OG-1266_,Tsi,WB,0.354162,NA,NO
Tsi_TRINITY_DN52688_c0_g1_i1,OG-1131_,Tsi,WB,0.072747,NA,NO
Tge_TRINITY_DN36168_c0_g1_i1,OG-1375_,Tge,WB,0.115369,NA,NO
Tte_TRINITY_DN29816_c2_g1_i1,OG-109_,Tte,WB,0.20142,NA,NO
Tge_TRINITY_DN28847_c0_g1_i1,OG-1462_,Tge,WB,NA,0,NO
Tge_TRINITY_DN18230_c0_g1_i1,OG-748_,Tge,WB,0.110687,0,NO
Tge_TRINITY_DN43418_c0_g1_i1,OG-1047_,Tge,WB,0.0705226,0.084172004,NO
Tsi_TRINITY_DN32454_c0_g1_i1,OG-647_,Tsi,WB,NA,NA,NO
Tte_TRINITY_DN29476_c2_g2_i1,OG-860_,Tte,WB,1.00E-04,NA,NO
Tge_TRINITY_DN16320_c0_g1_i1,OG-2076_,Tge,WB,NA,NA,NO
Tms_TRINITY_DN27881_c5_g1_i1,OG-2267_,Tms,WB,1.00E-04,NA,NO
Tge_TRINITY_DN32174_c0_g1_i1,OG-1813_,Tge,WB,1.00E-04,NA,NO
Tge_TRINITY_DN47315_c0_g3_i1,OG-1551_,Tge,WB,1.00E-04,0.058453803,NO
Tge_TRINITY_DN43344_c0_g1_i1,OG-158_,Tge,WB,NA,0,NO
Tsi_TRINITY_DN48040_c0_g1_i1,OG-2671_,Tsi,WB,NA,NA,NO
Tms_TRINITY_DN24414_c0_g1_i4,OG-2542_,Tms,WB,0.0996035,0,NO
Tte_TRINITY_DN22644_c0_g1_i2,OG-2239_,Tte,WB,1.00E-04,NA,NO
Tms_TRINITY_DN34558_c0_g1_i1,OG-1802_,Tms,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN11550_c0_g1_i1,OG-1373_,Tdi,WB,0.601743,NA,NO
Tdi_TRINITY_DN12685_c0_g1_i1,OG-365_,Tdi,WB,0.0947922,NA,NO
Tte_TRINITY_DN24462_c0_g1_i1,OG-900_,Tte,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN24965_c0_g2_i1,OG-1283_,Tsi,WB,NA,NA,NO
Tdi_TRINITY_DN35785_c0_g1_i1,OG-2903_,Tdi,WB,NA,NA,NO
Tms_TRINITY_DN48073_c0_g1_i1,OG-2685_,Tms,WB,NA,NA,NO
Tms_TRINITY_DN29697_c0_g1_i1,OG-118_,Tms,WB,0.210946,0.218787879,YES
Tdi_TRINITY_DN12201_c0_g1_i1,OG-1863_,Tdi,WB,0.0412136,0,NO
Tdi_TRINITY_DN60340_c0_g1_i1,OG-2945_,Tdi,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN22279_c0_g1_i1,OG-388_,Tdi,WB,0.27556,NA,NO
Tsi_TRINITY_DN16523_c0_g3_i1,OG-1924_,Tsi,WB,1.00E-04,NA,NO
Tge_TRINITY_DN45040_c0_g1_i2,OG-2473_,Tge,WB,0.330251,0.641340782,NO
Tsi_TRINITY_DN45799_c0_g1_i1,OG-185_,Tsi,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN67905_c0_g1_i1,OG-1282_,Tdi,WB,0.781006,NA,NO
Tdi_TRINITY_DN1717_c0_g1_i1,OG-971_,Tdi,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN23067_c0_g1_i2,OG-2669_,Tdi,WB,NA,NA,NO
Tge_TRINITY_DN46724_c0_g1_i2,OG-865_,Tge,WB,0.135549,0.134,NO
Tdi_TRINITY_DN26108_c0_g1_i1,OG-23_,Tdi,WB,0.0424561,0,NO
Tdi_TRINITY_DN33762_c0_g1_i1,OG-2204_,Tdi,WB,1.00E-04,NA,NO
Tte_TRINITY_DN8916_c0_g1_i1,OG-1003_,Tte,WB,0.372764,NA,NO
Tge_TRINITY_DN40648_c0_g1_i1,OG-1649_,Tge,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN6371_c0_g1_i1,OG-2396_,Tsi,WB,1.00E-04,NA,NO
Tte_TRINITY_DN39897_c0_g1_i1,OG-693_,Tte,WB,0.281708,NA,NO
Tge_TRINITY_DN37120_c0_g1_i1,OG-2493_,Tge,WB,1.00E-04,NA,NO
Tge_TRINITY_DN42330_c0_g1_i1,OG-1692_,Tge,WB,1.00E-04,0,NO
Tms_TRINITY_DN25014_c0_g1_i1,OG-907_,Tms,WB,1.00E-04,0,NO
Tms_TRINITY_DN48817_c0_g1_i1,OG-2883_,Tms,WB,1.00E-04,NA,NO
Tms_TRINITY_DN30896_c0_g1_i5,OG-1257_,Tms,WB,NA,0.217701594,NO
Tsi_TRINITY_DN6348_c0_g1_i1,OG-733_,Tsi,WB,1.00E-04,NA,NO
Tte_TRINITY_DN23045_c0_g1_i1,OG-774_,Tte,WB,NA,NA,NO
Tge_TRINITY_DN13487_c0_g1_i1,OG-1671_,Tge,WB,0.120601,0,NO
Tms_TRINITY_DN21813_c0_g1_i2,OG-377_,Tms,WB,0.144154,NA,NO
Tms_TRINITY_DN21803_c0_g2_i1,OG-2476_,Tms,WB,0.210278,NA,NO
Tsi_TRINITY_DN5799_c0_g1_i1,OG-2888_,Tsi,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN68382_c0_g1_i1,OG-2794_,Tsi,WB,NA,NA,NO
Tge_TRINITY_DN24366_c0_g1_i1,OG-2106_,Tge,WB,0.799528,NA,NO
Tms_TRINITY_DN30981_c4_g2_i1,OG-2627_,Tms,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN6894_c0_g1_i1,OG-62_,Tsi,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN20759_c0_g1_i1,OG-930_,Tsi,WB,0.328584,0,NO
Tte_TRINITY_DN28480_c0_g1_i1,OG-48_,Tte,WB,0.210561,NA,NO
Tsi_TRINITY_DN19286_c0_g1_i3,OG-580_,Tsi,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN4269_c0_g2_i1,OG-2398_,Tsi,WB,0.0853522,NA,NO
Tms_TRINITY_DN27333_c0_g1_i1,OG-2847_,Tms,WB,NA,1.047531993,YES
Tdi_TRINITY_DN25421_c0_g1_i1,OG-2790_,Tdi,WB,0.754952,NA,NO
Tdi_TRINITY_DN53522_c0_g1_i1,OG-2629_,Tdi,WB,NA,NA,NO
Tte_TRINITY_DN25357_c0_g1_i4,OG-1852_,Tte,WB,1.00E-04,NA,NO
Tms_TRINITY_DN28011_c0_g1_i1,OG-597_,Tms,WB,0.0646661,NA,NO
Tdi_TRINITY_DN3184_c0_g1_i1,OG-1444_,Tdi,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN32137_c1_g1_i2,OG-2131_,Tdi,WB,NA,0.141651376,NO
Tsi_TRINITY_DN30520_c4_g1_i1,OG-625_,Tsi,WB,0.163627,NA,NO
Tms_TRINITY_DN17427_c0_g2_i1,OG-2558_,Tms,WB,NA,NA,NO
Tsi_TRINITY_DN4040_c0_g1_i1,OG-2686_,Tsi,WB,0.782657,NA,NO
Tge_TRINITY_DN35066_c0_g1_i1,OG-290_,Tge,WB,1.00E-04,0,NO
Tte_TRINITY_DN27504_c0_g1_i2,OG-429_,Tte,WB,0.509778,0.16722916,NO
Tms_TRINITY_DN43504_c0_g1_i1,OG-1794_,Tms,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN8066_c0_g2_i1,OG-1587_,Tdi,WB,NA,NA,NO
Tdi_TRINITY_DN31456_c0_g1_i2,OG-2889_,Tdi,WB,NA,0,NO
Tsi_TRINITY_DN20784_c0_g1_i1,OG-76_,Tsi,WB,1.00E-04,0,NO
Tge_TRINITY_DN28418_c0_g1_i1,OG-1403_,Tge,WB,1.00E-04,NA,NO
Tte_TRINITY_DN21821_c0_g1_i2,OG-2356_,Tte,WB,NA,NA,NO
Tsi_TRINITY_DN46008_c0_g1_i1,OG-281_,Tsi,WB,1.00E-04,NA,NO
Tms_TRINITY_DN27979_c0_g3_i2,OG-352_,Tms,WB,0.208446,NA,NO
Tte_TRINITY_DN10927_c0_g1_i1,OG-1405_,Tte,WB,NA,NA,NO
Tge_TRINITY_DN4238_c0_g2_i1,OG-1736_,Tge,WB,0.371561,NA,NO
Tsi_TRINITY_DN60324_c0_g1_i1,OG-2819_,Tsi,WB,NA,NA,NO
Tms_TRINITY_DN14153_c0_g1_i1,OG-2174_,Tms,WB,NA,NA,NO
Tsi_TRINITY_DN46423_c0_g1_i1,OG-2196_,Tsi,WB,0.11711,NA,NO
Tms_TRINITY_DN31911_c0_g1_i1,OG-2503_,Tms,WB,NA,NA,NO
Tge_TRINITY_DN60671_c1_g1_i1,OG-2186_,Tge,WB,NA,NA,NO
Tsi_TRINITY_DN24916_c0_g1_i1,OG-2883_,Tsi,WB,1.00E-04,NA,NO
Tge_TRINITY_DN37742_c0_g1_i1,OG-2883_,Tge,WB,1.00E-04,0,NO
Tms_TRINITY_DN25728_c0_g1_i1,OG-274_,Tms,WB,1.00E-04,NA,NO
Tdi_TRINITY_DN27144_c0_g1_i5,OG-1898_,Tdi,WB,0.88587,NA,NO
Tte_TRINITY_DN5210_c0_g1_i1,OG-3001_,Tte,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN29013_c0_g1_i2,OG-624_,Tsi,WB,NA,NA,NO
Tdi_TRINITY_DN31422_c0_g1_i2,OG-262_,Tdi,WB,NA,0.146918299,NO
Tge_TRINITY_DN46182_c0_g1_i1,OG-78_,Tge,WB,0.047882,0.026830116,NO
Tms_TRINITY_DN22220_c0_g1_i1,OG-730_,Tms,WB,0.420151,NA,YES
Tge_TRINITY_DN72554_c0_g1_i1,OG-2830_,Tge,WB,1.00E-04,NA,NO
Tsi_TRINITY_DN16537_c0_g2_i1,OG-631_,Tsi,WB,1.00E-04,NA,NO
Tms_TRINITY_DN72261_c0_g1_i1,OG-207_,Tms,WB,0.129654,NA,NO
Tms_TRINITY_DN31377_c1_g8_i1,OG-2616_,Tms,WB,NA,NA,YES
Tms_TRINITY_DN30745_c0_g1_i1,OG-1622_,Tms,WB,NA,0.374025974,NO
Tte_TRINITY_DN64163_c0_g1_i1,OG-1127_,Tte,WB,0.196251,NA,NO
Tge_TRINITY_DN23607_c0_g1_i1,OG-2224_,Tge,WB,1.00E-04,0,NO
